file_name num_vertices num_edges avg_deg
vc-exact_001.hgr 176 264 1.5
vc-exact_003.hgr 160 240 1.5
vc-exact_005.hgr 168 252 1.5
vc-exact_007.hgr 147 1255 8.537414965986395
vc-exact_009.hgr 200 812 4.06
vc-exact_011.hgr 113 371 3.2831858407079646
vc-exact_013.hgr 167 1404 8.407185628742514
vc-exact_015.hgr 120 290 2.4166666666666665
vc-exact_017.hgr 135 403 2.9851851851851854
vc-exact_019.hgr 149 492 3.302013422818792
vc-exact_021.hgr 110 495 4.5
vc-exact_023.hgr 140 385 2.75
vc-exact_025.hgr 210 625 2.9761904761904763
vc-exact_027.hgr 190 379 1.9947368421052631
vc-exact_029.hgr 150 300 2.0
vc-exact_031.hgr 150 300 2.0
vc-exact_033.hgr 140 546 3.9
vc-exact_035.hgr 180 713 3.9611111111111112
vc-exact_037.hgr 109 166 1.5229357798165137
vc-exact_039.hgr 121 184 1.5206611570247934
vc-exact_041.hgr 133 202 1.518796992481203
vc-exact_043.hgr 145 220 1.5172413793103448
vc-exact_045.hgr 85 130 1.5294117647058822
vc-exact_047.hgr 205 1330 6.487804878048781
vc-exact_049.hgr 153 802 5.241830065359477
vc-exact_051.hgr 192 384 2.0
vc-exact_053.hgr 166 331 1.9939759036144578
vc-exact_055.hgr 214 427 1.9953271028037383
vc-exact_057.hgr 190 378 1.9894736842105263
vc-exact_059.hgr 166 330 1.9879518072289157
vc-exact_061.hgr 214 426 1.9906542056074767
vc-exact_063.hgr 489 567411 1160.3496932515338
vc-exact_065.hgr 394 4688952 11900.893401015228
vc-exact_067.hgr 484 41261 85.25
vc-exact_069.hgr 470 39122 83.23829787234042
vc-exact_071.hgr 16244 19783 1.2178650578675203
vc-exact_073.hgr 15241 19031 1.2486713470244735
vc-exact_075.hgr 18019 23377 1.297352794272712
vc-exact_077.hgr 200 881 4.405
vc-exact_079.hgr 200 821 4.105
vc-exact_081.hgr 200 1199 5.995
vc-exact_083.hgr 200 998 4.99
vc-exact_085.hgr 200 1047 5.235
vc-exact_087.hgr 200 1054 5.27
vc-exact_089.hgr 200 1210 6.05
vc-exact_091.hgr 200 966 4.83
vc-exact_093.hgr 200 1020 5.1
vc-exact_095.hgr 200 983 4.915
vc-exact_097.hgr 200 994 4.97
vc-exact_099.hgr 199 828 4.160804020100502
vc-exact_101.hgr 200 979 4.895
vc-exact_103.hgr 200 824 4.12
vc-exact_105.hgr 198 827 4.1767676767676765
vc-exact_107.hgr 200 886 4.43
vc-exact_109.hgr 200 752 3.76
vc-exact_111.hgr 200 821 4.105
vc-exact_113.hgr 200 822 4.11
vc-exact_115.hgr 25667 30197 1.176491214399813
vc-exact_117.hgr 25123 31552 1.2559009672411734
vc-exact_119.hgr 23879 30451 1.2752209053980486
vc-exact_121.hgr 200 983 4.915
vc-exact_123.hgr 200 1152 5.76
vc-exact_125.hgr 200 961 4.805
vc-exact_127.hgr 199 897 4.507537688442211
vc-exact_129.hgr 200 1054 5.27
vc-exact_131.hgr 200 1037 5.185
vc-exact_133.hgr 200 1141 5.705
vc-exact_135.hgr 200 1042 5.21
vc-exact_137.hgr 200 985 4.925
vc-exact_139.hgr 199 1128 5.668341708542713
vc-exact_141.hgr 200 1123 5.615
vc-exact_143.hgr 200 1049 5.245
vc-exact_145.hgr 200 1110 5.55
vc-exact_147.hgr 49620 63303 1.2757557436517533
vc-exact_149.hgr 48033 61188 1.2738742114796078
vc-exact_151.hgr 49212 63601 1.2923880354385109
vc-exact_153.hgr 54991 67000 1.2183811896492154
vc-exact_155.hgr 57287 71155 1.2420793548274478
vc-exact_157.hgr 53861 69091 1.2827648948218562
vc-exact_159.hgr 59785 75601 1.264547963536004
vc-exact_161.hgr 65866 81245 1.2334892053563296
vc-exact_163.hgr 64479 79974 1.2403107988647466
vc-exact_165.hgr 62853 79557 1.2657629707412534
vc-exact_167.hgr 450 17831 39.62444444444444
vc-exact_169.hgr 1534 126163 82.24445893089961
vc-exact_171.hgr 1534 127011 82.79726205997392
vc-exact_173.hgr 1150 81068 70.49391304347826
vc-exact_175.hgr 4000 572774 143.1935
vc-exact_177.hgr 23541 51846 2.202370332611189
vc-exact_179.hgr 20431 46848 2.292986148499829
vc-exact_181.hgr 68 207 3.0441176470588234
vc-exact_183.hgr 42 82 1.9523809523809523
vc-exact_185.hgr 377 1060 2.8116710875331563
vc-exact_187.hgr 3381 8471 2.505471753918959
vc-exact_189.hgr 8794 10158 1.1551057539231293
vc-exact_191.hgr 12335 32384 2.6253749493311713
vc-exact_193.hgr 1517 3411 2.2485168094924193
vc-exact_195.hgr 12589 33485 2.659861784097228
vc-exact_197.hgr 1806 4152 2.299003322259136
vc-exact_199.hgr 420 864 2.057142857142857
